time,grid_load,soc
545.0,0.47988370192974167,99.794
546.0,0.4711963739451474,99.798
547.0,0.46266631253828405,99.802
548.0,0.45429067071448376,99.806
549.0,0.44606665301817866,99.809
550.0,0.43799151459989866,99.813
551.0,0.43006256030014217,99.816
552.0,0.42227714374984465,99.82
553.0,0.4146326664871224,99.823
554.0,0.4071265770900125,99.826
555.0,0.39975637032490696,99.83
556.0,0.3925195863104077,99.833
557.0,0.3854138096963164,99.836
558.0,0.3784366688574837,99.839
559.0,0.3715858351022591,99.842
560.0,0.3648590218952634,99.845
561.0,0.35825398409423675,99.848
562.0,0.3517685172006969,99.851
563.0,0.34540045662416946,99.854
564.0,0.339147676959728,99.857
565.0,0.3330080912786253,99.859
566.0,0.32697965043175303,99.862
567.0,0.32106034236572395,99.865
568.0,0.31524819145132194,99.867
569.0,0.3095412578241225,99.87
570.0,0.30393763673703655,99.872
571.0,0.2984354579245874,99.875
572.0,0.29303288497868846,99.877
573.0,0.2877281147357207,99.879
574.0,0.28251937667471416,99.882
575.0,0.27740493232641233,99.884
576.0,0.2723830746930465,99.886
577.0,0.26745212767860194,99.888
578.0,0.2626104455294094,99.89
579.0,0.2578564122848533,99.892
580.0,0.25318844123803214,99.895
581.0,0.2486049744061763,99.897
582.0,0.24410448201065751,99.899
583.0,0.2396854619664076,99.9
584.0,0.2353464393805853,99.902
585.0,0.23108596606031157,99.904
586.0,0.226902620029325,99.906
587.0,0.22279500505337982,99.908
588.0,0.21876175017423896,99.91
589.0,0.21480150925210462,99.911
590.0,0.21091296051632705,99.913
591.0,0.2070948061242544,99.915
592.0,0.2033457717280602,99.917
593.0,0.19966460604942102,99.918
594.0,0.19605008046188538,99.92
595.0,0.1925009885808116,99.921
596.0,0.18901614586072016,99.923
597.0,0.18559438919994392,99.924
598.0,0.18223457655242759,99.926
599.0,0.1789355865465606,99.927
600.0,0.1756963181109065,99.929
601.0,0.1725156901067099,99.93
602.0,0.169392640967056,99.932
603.0,0.16632612834255955,99.933
604.0,0.16331512875347337,99.934
605.0,0.1603586372480888,99.936
606.0,0.15745566706732456,99.937
607.0,0.1546052493153849,99.938
608.0,0.15180643263638166,99.939
609.0,0.14905828289680847,99.941
610.0,0.1463598828737658,99.942
611.0,0.1437103319488262,99.943
612.0,0.1411087458074466,99.944
613.0,0.13855425614381622,99.945
614.0,0.1360460103710539,99.946
615.0,0.13358317133664538,99.947
616.0,0.1311649170430379,99.948
617.0,0.12879044037328888,99.95
618.0,0.12645894882168152,99.951
619.0,0.1241696642292204,99.952
620.0,0.12192182252391019,99.953
621.0,0.11971467346574158,99.954
622.0,0.11754748039628844,99.955
623.0,0.11541951999284308,99.955
624.0,0.11333008202699786,99.956
625.0,0.11127846912760063,99.957
626.0,0.10926399654799919,99.958
627.0,0.10728599193750074,99.959
628.0,0.10534379511696745,99.96
629.0,0.10343675785847556,99.961
630.0,0.10156424366896194,99.962
631.0,0.0997256275777891,99.962
632.0,0.09792029592815407,99.963
633.0,0.0961476461722742,99.964
634.0,0.09440708667028139,99.965
635.0,0.09269803649275536,99.965
636.0,0.09101992522683379,99.966
637.0,0.08937219278582952,99.967
638.0,0.08775428922229787,99.968
639.0,0.08616567454448418,99.968
640.0,0.08460581853609796,99.969
641.0,0.08307420057934588,99.97
642.0,0.08157030948117223,99.97
643.0,0.08009364330264124,99.971
644.0,0.0786437091914114,99.972
645.0,0.07722002321723984,99.972
646.0,0.07582211021046627,99.973
647.0,0.07444950360342044,99.974
648.0,0.07310174527469952,99.974
649.0,0.07177838539626683,99.975
650.0,0.07047898228331559,99.975
651.0,0.06920310224685366,99.976
652.0,0.06795031944895422,99.976
653.0,0.06672021576062877,99.977
654.0,0.06551238062227187,99.978
655.0,0.06432641090663313,99.978
656.0,0.0631619107842689,99.979
